"","age","bid","biden","bipoc","ccHumanCaused","ccNatureCaused","collegeGrad","county","drought","drought3","drought4","DurationSec","educ","EEExposure","EEExposureAll","EEFrequency","EEFrequencyAll","EEIntensity","EEIntensityAll","extremeExperienceYN","fires","heatwaves","hurricanes","hurricanesTropStorms","income","male","nonvoter","noReportDrought","noReportFire","noReportHeatwave","noReportHurricaneTropStorm","noReportTornado","PersonalExpImpact_evacuate","PersonalExpImpact_incomelost","PersonalExpImpact_livingquarterdamage","PersonalExpImpact_livingquarterlost","PersonalExpImpact_nearmiss","PersonalExpImpact_other","PersonalExpImpact_sheltering","PersonalExpImpact_smoke","PersonalExpImpact_total","PersonalExpImpactOE","PersonalExpType_drought","PersonalExpType_flood","PersonalExpType_heat","PersonalExpType_hurricane","PersonalExpType_other","PersonalExpType_tornado","PersonalExpType_total","PersonalExpType_wildfire","PersonalExpTypeOE","Registered_Drought","Registered_EventTypeSum","Registered_Extreme","Registered_Extreme_incldHeatwaves","Registered_Heatwave","Registered_Hurricane","Registered_NoReport_Extreme","Registered_Tornado","Registered_Wildfire","Reported_Drought","Reported_Extreme","Reported_Extreme_exldHeatFlood","Reported_Flood","Reported_Heatwave","Reported_Hurricane","Reported_Other","Reported_Tornado","Reported_Wildfire","ReportedFlood_NoVerified_Extreme","ReportedHeatwave_NoVerified_Extreme","ReportedIntensity_Extreme","state","thirdparty","tornado0","tornado1","tornado2","tornado3","tornado4","tornadoTotal","tropStorms","trump","Verified_Drought","Verified_Extreme","Verified_Extreme_Any","Verified_Heatwave","Verified_Hurricane","Verified_Tornado","Verified_Wildfire","wtp","wtpValue"
"952",3.95,85,1,1,1,0,1,"Los Angeles County",4.02691783125864,2,53,563,4,NA,0,NA,0,NA,0,0,0,8,0,0,200,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"CA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,0,85
"953",2.1,185,1,1,1,0,1,"Miami-Dade County",-0.952073089971179,0,0,801,3,NA,0,NA,0,NA,0,0,0,10,0,0,17.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"FL",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,0,185
"954",2.1,125,1,1,1,0,0,"Broward County",-0.952073089971179,0,0,875,2,6,6,2,2,4,4,1,0,8,0,0,10,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,NA,0,1,0,1,0,0,2,0,NA,0,2,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0.590353799420343,"FL",0,2,0,0,0,0,4.95075378403654,0,0,0,0,1,0,0,0,0,0,125
"955",3.95,105,1,1,1,0,1,"Decatur County",-0.952073089971179,0,0,761,3,8,8,3,3,5,5,1,1,9,0,1,17.5,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,2,NA,0,0,0,1,0,1,2,0,NA,0,3,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0.937864175361868,"GA",0,0,0,0,0,0,-0.809391123281774,1,0,0,1,1,0,1,0,0,0,105
"956",3.95,125,0,1,0,0,0,"New York County",-0.952073089971179,0,0,928,2,NA,0,NA,0,NA,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"NY",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,0,125
"957",2.95,85,1,1,1,0,1,"Sonoma County",-0.952073089971179,0,0,447,3,10,10,3,3,7,7,1,0,9,0,0,37.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,1,0,0,0,0,1,3,1,NA,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1.63288492724492,"CA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,85
"958",4.95,45,1,1,1,0,1,"Cobb County",1.10187428972674,15,8,636,3,NA,0,NA,0,NA,0,0,0,11,0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"GA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,45
"959",2.95,65,0,1,1,0,1,"Queens County",-0.952073089971179,0,0,1599,4,4,4,2,2,2,2,1,0,0,0,0,37.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,0,1,0,1,0,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,-0.104666952462705,"NY",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,65
"960",3.95,45,0,1,0,0,0,"Ware County",-0.686242728915399,3,0,647,2,NA,0,NA,0,NA,0,0,0,9,0,0,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"GA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,0,45
"961",4.95,185,1,1,1,0,1,"Cobb County",1.26317991882699,25,0,727,4,NA,0,NA,0,NA,0,0,0,11,0,0,87.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"GA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,185
"962",4.95,125,1,1,1,0,1,"Fulton County",0.731519196715431,19,0,3004,3,NA,0,NA,0,NA,0,0,0,12,0,0,37.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"GA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,125
